Name KA;Bundesland;Rechtswert;Hochwert;Koordinatensystem;Ausbaugröße;Jahresabwassermenge [m^3/a];Abwassereinigung;pl_n_tech;pl_p_tech;pl_uv;pl_chlorination;pl_ozonation;pl_sand_filtration;pl_micro_filtration;pl_other;pl_other_comment;N-Ablauffracht [kg/a];P-Ablauffracht [kg/a];Einleitgewässer;Flusseinzugsgebiet;Flussgebietseinheit;lat;long
Eberswalde;BB;33421783;5854989;ETRS89_UTM33;80000;3613000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);33566;3812;Finow-Kanal;Oder;Oder;52.83896816;13.83879633
BASF Schwarzheide;BB;33423476;5704090;ETRS89_UTM33;15000;3006606;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2894;1273;Pößnitz;Elbe;Elbe;51.48278069;13.89795115
Prenzlau;BB;33423610;5908899;ETRS89_UTM33;80000;1684611;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);277;707;Ucker;Oder;Oder;53.32374775;13.85310675
Rehfelde;BB;33425725;5820099;ETRS89_UTM33;3400;88000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);670;160;Langer Graben;Elbe;Elbe;52.52592571;13.90517775
Lübben;BB;33426228;5755251;ETRS89_UTM33;50000;885000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);850;374;A-Graben;Elbe;Elbe;51.94307541;13.92674396
Lübbenau/Spreewald;BB;33426473;5746977;ETRS89_UTM33;26000;1164000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3350;1665;Zerkwitzer Kahnfahrt;Elbe;Elbe;51.86872841;13.9320732
Brieske/Senftenberg;BB;33428058;5705257;ETRS89_UTM33;60000;2045000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);9202;3067;Schwarze Elster;Elbe;Elbe;51.49387379;13.96368831
Storkow;BB;33428271;5792578;ETRS89_UTM33;32900;1051000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3322;365;Rieploser Fließ;Elbe;Elbe;52.27888559;13.94859673
Alt-Schadow;BB;33428515;5773464;ETRS89_UTM33;12000;206000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);574;162;Spree;Elbe;Elbe;52.1070985;13.95620499
Calau;BB;33429040;5733399;ETRS89_UTM33;8000;207000;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);480;2095;Zulaufgraben z. Göritzer Mühlenfließ;Elbe;Elbe;51.74699735;13.97213082
Dürrenhofe/Krugau;BB;33429454;5765323;ETRS89_UTM33;6000;127000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1278;89;Gröditscher Landgraben;Elbe;Elbe;52.03403638;13.97159631
Greiffenberg/Günterberg;BB;33431210;5883446;ETRS89_UTM33;2400;42000;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);237;96;L18;Oder;Oder;53.09602707;13.9726761
Angermünde;BB;33431479;5875441;ETRS89_UTM33;16000;514000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2786;313;Wolfswinkelgraben;Oder;Oder;53.02411348;13.97839629
Altdöbern;BB;33432493;5723175;ETRS89_UTM33;4000;88000;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);1095;780;Neues Vetschauer Mühlenfließ;Elbe;Elbe;51.6555092;14.02411961
Fürstenwalde;BB;33432531;5803572;ETRS89_UTM33;48000;2066900;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);8869;2409;Rieselfelder/Spree;Elbe;Elbe;52.37825127;14.00882287
Großräschen;BB;33433155;5714518;ETRS89_UTM33;25000;568000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);5112;908;Rainitza;Elbe;Elbe;51.57775955;14.03533954
Vetschau;BB;33436072;5738911;ETRS89_UTM33;18000;283000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1020;355;Neues Vetschauer Mühlenfließ;Elbe;Elbe;51.79739752;14.07296077
Straupitz;BB;33438305;5751477;ETRS89_UTM33;7150;108743;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);314;101;A - Pappelweggraben;Elbe;Elbe;51.91061771;14.10309461
Hohenwutzen;BB;33439158;5855883;ETRS89_UTM33;3500;51100;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);245;160;Oder;Oder;Oder;52.84924646;14.09653751
Passow;BB;33441122;5889052;ETRS89_UTM33;3100;72000;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);1829;396;Holzgraben zur Welse;Oder;Oder;53.14760028;14.1196543
Lunow;BB;33441822;5862242;ETRS89_UTM33;7000;195000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);193;37;HoFrieWa;Oder;Oder;52.90669931;14.1349544
